time, x, y
0.100000, -10.790608, 14.288069
0.200000, 3.579099, 13.415879
0.300000, 0.836187, 13.549466
0.400000, 1.040188, 13.549466
0.500000, -0.739727, 14.507561
0.600000, 1.273191, 13.549466
0.700000, 2.737723, 11.885565
0.800000, 2.950904, 12.787770
0.900000, -3.928840, 13.191602
1.000000, -0.014394, 13.066236
1.100000, 2.401069, 14.391037
1.200000, 8.950317, 6.963775
1.300000, 7.084748, 9.841853
1.400000, 8.767924, 6.963775
1.500000, -0.365585, 13.623807
1.600000, -0.819256, 13.756352
1.700000, -1.080954, 12.529754
1.800000, -0.549755, 13.479306
1.900000, -0.521185, 13.479306
2.000000, -0.536269, 10.674826
2.100000, -0.477061, 13.479306
2.200000, -4.175930, 12.328038
2.300000, -7.998302, 14.027198
2.400000, -2.597573, 11.115720
2.500000, -1.088580, 12.610283
2.600000, -1.191315, 12.610283
2.700000, 1.579029, 12.811204
2.800000, 1.794925, 12.811204
2.900000, -1.260247, 8.694499
3.000000, -0.206673, 14.440929
3.100000, -0.274929, 10.605538
3.200000, -0.341626, 13.595918
3.300000, 0.709657, 13.595918
3.400000, -0.727242, 13.595918
3.500000, -0.871831, 13.113007
3.600000, -2.120315, 13.595918
3.700000, -0.352539, 10.569074
3.800000, -0.292719, 9.911850
3.900000, -0.708927, 13.595918
4.000000, -1.328748, 13.113007
4.100000, -0.805827, 13.595918
4.200000, -0.658535, 13.113007
4.300000, 1.500986, 12.062748
4.400000, -0.808377, 13.287047
4.500000, -2.004142, 12.811204
4.600000, -0.829347, 13.113007
4.700000, 0.096196, 13.595918
4.800000, -0.816103, 13.113007
4.900000, -0.756846, 13.595918
5.000000, -0.658673, 13.113007
5.100000, -1.305150, 13.595918
5.200000, 0.823140, 13.595918
5.300000, 0.536483, 13.595918
5.400000, 0.770835, 13.595918
5.500000, 0.678348, 12.494844
5.600000, 0.386633, 8.452774
5.700000, -0.639396, 13.113007
5.800000, 0.428204, 12.494844
5.900000, 0.933161, 13.595918
6.000000, 0.750694, 13.761304
6.100000, 0.947778, 13.595918
6.200000, -0.714952, 14.427160
6.300000, 0.665250, 14.242835
6.400000, 0.752519, 13.595918
6.500000, 0.592409, 13.595918
6.600000, -0.646594, 12.494844
6.700000, 0.624364, 13.595918
6.800000, 0.684258, 13.113007
6.900000, -0.745522, 12.494844
7.000000, -0.574349, 12.494844
7.100000, -0.778350, 13.707272
7.200000, -0.799577, 13.707272
7.300000, -0.986115, 12.494844
7.400000, -1.286873, 13.063005
7.500000, -0.713135, 13.707272
7.600000, 2.009162, 12.239107
7.700000, 3.841255, 14.307686
7.800000, 4.375785, 14.134466
7.900000, 4.734706, 14.522223
8.000000, 2.745574, 14.307686
8.100000, -0.572664, 11.737444
8.200000, 1.298300, 14.307686
8.300000, 0.826839, 14.307686
8.400000, 0.638367, 14.307686
8.500000, 1.139037, 14.307686
8.600000, 0.656340, 14.307686
8.700000, 2.186648, 14.307686
8.800000, 0.827670, 14.114793
8.900000, 0.424394, 13.519383
9.000000, 0.746963, 14.114793
9.100000, -0.798721, 14.333171
9.200000, -1.545715, 14.333171
9.300000, -1.730918, 14.333171
9.400000, -0.680094, 13.519383
9.500000, -1.310674, 13.519383
9.600000, -1.054958, 13.519383
9.700000, -1.492655, 13.519383
9.800000, -1.831987, 14.333171
9.900000, -1.830384, 14.333171
10.000000, -5.217083, 14.542013
10.000000, -0.707897, 12.216466
